
Reading setup file setup.txt

File name prefix: Occlusion2
First file number: 1
Last file number: 890
Initial template corners (top left y x, bottom right y x): 57 119 157 193 
Search margin (pixels): 7
Number of bins: 16
Metric used for comparing histograms (1 = chi square, 2 = EMD, 3 = KS (best choice)) : 3

Frame size: height = 240 width = 320
688 116 173 0.0543301 66 136 101 75
689 116 173 0.0548747 66 136 101 75
690 117 166 0.0558968 67 129 101 75
691 120 164 0.0472973 70 127 101 75
692 115 165 0.0528322 65 128 101 75
693 120 165 0.0500614 70 128 101 75
694 120 166 0.0548747 70 129 101 75
695 117 165 0.0539005 67 128 101 75
696 117 164 0.0557432 67 127 101 75
697 115 163 0.0583538 65 126 101 75
698 109 157 0.0571895 59 120 101 75
699 109 157 0.057586 59 120 101 75
700 109 157 0.0574324 59 120 101 75
701 108 158 0.0617322 58 121 101 75
702 109 156 0.0644063 59 119 101 75
703 110 163 0.0627723 60 126 101 75
704 117 168 0.0629607 67 131 101 75
705 116 170 0.0609644 66 133 101 75
706 116 168 0.0631142 66 131 101 75
707 116 169 0.060043 66 132 101 75
708 116 169 0.0585074 66 132 101 75
709 116 168 0.0590959 66 131 101 75
710 116 168 0.0588145 66 131 101 75
711 116 168 0.0603501 66 131 101 75
712 116 168 0.0594287 66 131 101 75
713 116 168 0.0615468 66 131 101 75
714 115 168 0.0608108 65 131 101 75
715 116 167 0.0612745 66 130 101 75
716 116 168 0.0608108 66 131 101 75
717 116 167 0.0612745 66 130 101 75
718 116 168 0.0607298 66 131 101 75
719 116 168 0.0603501 66 131 101 75
720 116 168 0.0589597 66 131 101 75
721 116 168 0.0622277 66 131 101 75
722 116 168 0.0603213 66 131 101 75
723 116 169 0.0609644 66 132 101 75
724 116 168 0.0597359 66 131 101 75
725 116 168 0.0591216 66 131 101 75
726 116 168 0.0605037 66 131 101 75
727 116 168 0.0588145 66 131 101 75
728 116 168 0.0595044 66 131 101 75
729 116 168 0.0592752 66 131 101 75
730 115 168 0.0621929 65 131 101 75
731 116 168 0.0601966 66 131 101 75
732 115 169 0.0628071 65 132 101 75
733 117 170 0.0614251 67 133 101 75
734 116 168 0.0605037 66 131 101 75
735 116 168 0.0609644 66 131 101 75
736 109 163 0.0620393 59 126 101 75
737 108 156 0.0589681 58 119 101 75
738 108 153 0.0565087 58 116 101 75
739 108 151 0.0569172 58 114 101 75
740 109 153 0.0529791 59 116 101 75
741 114 154 0.0537469 64 117 101 75
742 114 155 0.0539005 64 118 101 75
743 114 154 0.0532862 64 117 101 75
744 114 153 0.0540541 64 116 101 75
745 108 152 0.0546683 58 115 101 75
746 108 152 0.0535934 58 115 101 75
747 108 152 0.0532862 58 115 101 75
748 108 151 0.0560504 58 114 101 75
749 108 152 0.0554361 58 115 101 75
750 107 150 0.0550109 57 113 101 75
751 108 152 0.0565111 58 115 101 75
752 105 152 0.0535934 55 115 101 75
753 106 150 0.0529684 56 113 101 75
754 105 150 0.0537469 55 113 101 75
755 105 150 0.0515971 55 113 101 75
756 105 150 0.0514706 55 113 101 75
757 104 150 0.0518791 54 113 101 75
758 105 151 0.0512899 55 114 101 75
759 101 152 0.0514435 51 115 101 75
760 104 151 0.0501089 54 114 101 75
761 103 150 0.0497543 53 113 101 75
762 103 151 0.0512899 53 114 101 75
763 100 150 0.0507898 50 113 101 75
764 99 152 0.0503813 49 115 101 75
765 101 152 0.04914 51 115 101 75
766 101 152 0.0500614 51 115 101 75
767 105 152 0.0492919 55 115 101 75
768 100 153 0.0491558 50 116 101 75
769 99 151 0.0492936 49 114 101 75
770 98 151 0.0497004 48 114 101 75
771 98 151 0.0520577 48 114 101 75
772 96 151 0.0543301 46 114 101 75
773 101 158 0.0534398 51 121 101 75
774 94 162 0.0529791 44 125 101 75
775 93 162 0.0517429 43 125 101 75
776 92 163 0.0506536 42 126 101 75
777 91 163 0.052672 41 126 101 75
778 91 162 0.0518791 41 125 101 75
779 91 162 0.0521514 41 125 101 75
780 91 163 0.0535131 41 126 101 75
781 91 161 0.0537469 41 124 101 75
782 92 160 0.0529684 42 123 101 75
783 91 162 0.0529791 41 125 101 75
784 91 162 0.0542076 41 125 101 75
785 92 162 0.0543301 42 125 101 75
786 92 159 0.0532407 42 122 101 75
787 92 160 0.0533769 42 123 101 75
788 93 154 0.0539216 43 117 101 75
789 93 154 0.0536492 43 117 101 75
790 93 160 0.0540541 43 123 101 75
791 94 155 0.0544662 44 118 101 75
792 94 155 0.0536492 44 118 101 75
793 100 157 0.0534398 50 120 101 75
794 100 155 0.0535934 50 118 101 75
795 100 154 0.0529791 50 117 101 75
796 95 152 0.0545147 45 115 101 75
797 101 149 0.0548219 51 112 101 75
798 94 150 0.0555897 44 113 101 75
799 101 147 0.0540541 51 110 101 75
800 95 151 0.0540577 45 114 101 75
801 100 152 0.0546683 50 115 101 75
802 101 152 0.0529791 51 115 101 75
803 101 153 0.0529791 51 116 101 75
804 101 153 0.0511364 51 116 101 75
805 101 152 0.0525184 51 115 101 75
806 101 152 0.0532862 51 115 101 75
807 101 152 0.0520577 51 115 101 75
808 101 152 0.0515971 51 115 101 75
809 101 151 0.0512899 51 114 101 75
810 101 151 0.0529791 51 114 101 75
811 101 151 0.0511364 51 114 101 75
812 101 153 0.0508292 51 116 101 75
813 101 151 0.052672 51 114 101 75
814 101 150 0.0528256 51 113 101 75
815 101 150 0.0520577 51 113 101 75
816 101 153 0.0517506 51 116 101 75
817 96 149 0.0520152 46 112 101 75
818 96 149 0.0505174 46 112 101 75
819 96 149 0.0505174 46 112 101 75

Finished running on the sequence, exiting ... 
